forecast_month,product_type,month,season,previous_sales,stock_quantity,price,promotion,customer_order_quantity,previous_production_quantity,target_demand
2022-02,Laundry Detergent,2,Dry-Q1,1942,330,6.32,0,1175,1935,1842
2022-02,Shampoo,2,Dry-Q1,1749,256,4.76,0,949,1865,1666
2022-03,Body Wash,3,Dry-Q1,1608,237,3.94,0,721,1695,1315
2022-03,Laundry Detergent,3,Dry-Q1,1842,371,6.33,0,1086,2054,1692
2022-03,Shampoo,3,Dry-Q1,1666,355,4.51,0,889,1698,1549
2022-04,Body Wash,4,Hot-Q2,1315,323,3.87,0,688,1133,1225
2022-04,Laundry Detergent,4,Hot-Q2,1692,386,6.28,0,1094,1685,1693
2022-04,Shampoo,4,Hot-Q2,1549,251,4.44,0,823,1668,1452
2022-05,Body Wash,5,Hot-Q2,1225,345,3.86,0,649,1201,1173
2022-05,Laundry Detergent,5,Hot-Q2,1693,350,6.31,0,1140,1490,1633
2022-05,Shampoo,5,Hot-Q2,1452,415,4.52,0,890,1445,1429
2022-06,Body Wash,6,Hot-Q2,1173,305,3.79,0,701,1045,1058
2022-06,Laundry Detergent,6,Hot-Q2,1633,379,6.21,1,1245,1620,1755
2022-06,Shampoo,6,Hot-Q2,1429,272,4.78,1,1055,1236,1519
2022-07,Body Wash,7,Wet-Q3,1058,184,3.97,0,539,1115,1009
2022-07,Laundry Detergent,7,Wet-Q3,1755,427,6.29,0,1049,1824,1558
2022-07,Shampoo,7,Wet-Q3,1519,312,4.72,0,863,1540,1217
2022-08,Body Wash,8,Wet-Q3,1009,404,3.89,0,810,1046,972
2022-08,Laundry Detergent,8,Wet-Q3,1558,321,6.25,0,1107,1450,1515
2022-08,Shampoo,8,Wet-Q3,1217,305,4.75,1,925,1171,1232
2022-09,Body Wash,9,Wet-Q3,972,277,4.04,0,703,971,1003
2022-09,Laundry Detergent,9,Wet-Q3,1515,409,6.18,1,1272,1477,1771
2022-09,Shampoo,9,Wet-Q3,1232,213,4.4,0,929,1174,1292
2022-10,Body Wash,10,Peak-Q4,1003,268,3.85,1,755,955,1321
2022-10,Laundry Detergent,10,Peak-Q4,1771,420,6.26,0,1109,1686,1799
2022-10,Shampoo,10,Peak-Q4,1292,373,4.65,0,867,1409,1355
2022-11,Body Wash,11,Peak-Q4,1321,205,4.02,0,694,1346,1214
2022-11,Laundry Detergent,11,Peak-Q4,1799,421,6.32,0,1139,1870,1831
2022-11,Shampoo,11,Peak-Q4,1355,393,4.69,0,859,1449,1418
2022-12,Body Wash,12,Peak-Q4,1214,310,3.91,0,771,1185,1345
2022-12,Laundry Detergent,12,Peak-Q4,1831,395,6.13,0,1164,1811,1893
2022-12,Shampoo,12,Peak-Q4,1418,523,4.52,0,883,1457,1522
2023-01,Body Wash,1,Dry-Q1,1345,186,3.84,0,668,1501,1225
2023-01,Laundry Detergent,1,Dry-Q1,1893,316,6.35,0,1269,1895,1999
2023-01,Shampoo,1,Dry-Q1,1522,384,4.52,0,905,1463,1588
2023-02,Body Wash,2,Dry-Q1,1225,252,3.8,1,903,1206,1581
2023-02,Laundry Detergent,2,Dry-Q1,1999,413,6.24,0,1229,1955,1923
2023-02,Shampoo,2,Dry-Q1,1588,307,4.56,1,824,1528,1631
2023-03,Body Wash,3,Dry-Q1,1581,251,3.8,0,716,1589,1518
2023-03,Laundry Detergent,3,Dry-Q1,1923,335,6.43,0,1085,1984,1735
2023-03,Shampoo,3,Dry-Q1,1631,259,4.97,0,988,1648,1566
2023-04,Body Wash,4,Hot-Q2,1518,221,3.72,0,670,1405,1331
2023-04,Laundry Detergent,4,Hot-Q2,1735,444,6.15,1,1266,1788,1938
2023-04,Shampoo,4,Hot-Q2,1566,374,4.87,0,984,1550,1495
2023-05,Body Wash,5,Hot-Q2,1331,277,3.83,0,848,1319,1289
2023-05,Laundry Detergent,5,Hot-Q2,1938,433,6.28,0,1142,1999,1795
2023-05,Shampoo,5,Hot-Q2,1495,398,4.74,0,930,1669,1427
2023-06,Body Wash,6,Hot-Q2,1289,410,4.0,0,704,1282,1155
2023-06,Laundry Detergent,6,Hot-Q2,1795,453,6.14,0,1207,1862,1781
2023-06,Shampoo,6,Hot-Q2,1427,358,4.69,0,851,1461,1281
2023-07,Body Wash,7,Wet-Q3,1155,308,3.84,0,667,1208,986
2023-07,Laundry Detergent,7,Wet-Q3,1781,405,6.34,1,1180,1737,1835
2023-07,Shampoo,7,Wet-Q3,1281,249,4.57,0,781,1255,1178
2023-08,Body Wash,8,Wet-Q3,986,261,3.99,0,672,968,1023
2023-08,Laundry Detergent,8,Wet-Q3,1835,452,6.35,0,1081,1849,1701
2023-08,Shampoo,8,Wet-Q3,1178,291,4.69,0,658,1368,1191
2023-09,Body Wash,9,Wet-Q3,1023,221,3.75,1,760,1154,1271
2023-09,Laundry Detergent,9,Wet-Q3,1701,374,6.33,1,1276,1647,1732
2023-09,Shampoo,9,Wet-Q3,1191,389,4.62,0,1005,1321,1302
2023-10,Body Wash,10,Peak-Q4,1271,249,3.98,0,834,1238,1304
2023-10,Laundry Detergent,10,Peak-Q4,1732,503,6.31,1,1295,1812,1962
2023-10,Shampoo,10,Peak-Q4,1302,312,4.78,0,919,1391,1412
2023-11,Body Wash,11,Peak-Q4,1304,177,3.91,1,899,1273,1579
2023-11,Laundry Detergent,11,Peak-Q4,1962,428,6.04,1,1346,1967,2175
2023-11,Shampoo,11,Peak-Q4,1412,277,4.69,0,959,1545,1422
2023-12,Body Wash,12,Peak-Q4,1579,289,3.69,0,875,1678,1492
2023-12,Laundry Detergent,12,Peak-Q4,2175,486,6.32,0,1122,2118,2045
2023-12,Shampoo,12,Peak-Q4,1422,257,4.69,1,1091,1513,1798
2024-01,Body Wash,1,Dry-Q1,1492,353,3.88,0,791,1466,1447
2024-01,Laundry Detergent,1,Dry-Q1,2045,385,6.3,0,1191,2049,1961
2024-01,Shampoo,1,Dry-Q1,1798,371,4.62,0,971,1773,1735
2024-02,Body Wash,2,Dry-Q1,1447,275,3.79,0,673,1519,1405
2024-02,Laundry Detergent,2,Dry-Q1,1961,378,6.25,0,1040,1938,1860
2024-02,Shampoo,2,Dry-Q1,1735,435,4.56,0,910,1685,1527
2024-03,Body Wash,3,Dry-Q1,1405,332,3.82,1,793,1342,1472
2024-03,Laundry Detergent,3,Dry-Q1,1860,462,6.29,1,1344,1912,2006
2024-03,Shampoo,3,Dry-Q1,1527,392,4.9,1,918,1575,1609
2024-04,Body Wash,4,Hot-Q2,1472,327,4.02,0,679,1515,1262
2024-04,Laundry Detergent,4,Hot-Q2,2006,414,6.48,0,1134,2142,1868
2024-04,Shampoo,4,Hot-Q2,1609,277,4.68,0,908,1586,1456
2024-05,Body Wash,5,Hot-Q2,1262,339,3.88,0,709,1337,1269
2024-05,Laundry Detergent,5,Hot-Q2,1868,377,6.27,0,1167,1865,1723
2024-05,Shampoo,5,Hot-Q2,1456,307,4.62,0,861,1529,1303
2024-06,Body Wash,6,Hot-Q2,1269,288,3.86,0,637,1482,1128
2024-06,Laundry Detergent,6,Hot-Q2,1723,462,6.17,0,1122,1591,1714
2024-06,Shampoo,6,Hot-Q2,1303,361,4.51,1,975,1308,1524
2024-07,Body Wash,7,Wet-Q3,1128,189,4.02,0,575,1069,1070
2024-07,Laundry Detergent,7,Wet-Q3,1714,482,6.16,0,1240,1653,1822
2024-07,Shampoo,7,Wet-Q3,1524,450,4.69,0,950,1323,1446
2024-08,Body Wash,8,Wet-Q3,1070,156,3.88,0,706,1051,1071
2024-08,Laundry Detergent,8,Wet-Q3,1822,396,6.3,0,1111,1884,1813
2024-08,Shampoo,8,Wet-Q3,1446,337,4.62,1,989,1405,1593
2024-09,Body Wash,9,Wet-Q3,1071,311,3.83,0,850,1100,1233
2024-09,Laundry Detergent,9,Wet-Q3,1813,442,6.22,0,1152,1769,1872
2024-09,Shampoo,9,Wet-Q3,1593,376,4.78,0,871,1573,1512
2024-10,Body Wash,10,Peak-Q4,1233,292,3.9,0,692,1285,1289
2024-10,Laundry Detergent,10,Peak-Q4,1872,420,6.16,1,1289,1983,2067
2024-10,Shampoo,10,Peak-Q4,1512,276,4.68,0,986,1665,1600
2024-11,Body Wash,11,Peak-Q4,1289,203,4.23,0,707,1390,1354
2024-11,Laundry Detergent,11,Peak-Q4,2067,433,6.24,0,1174,2095,1980
2024-11,Shampoo,11,Peak-Q4,1600,393,4.8,0,898,1732,1547
2024-12,Body Wash,12,Peak-Q4,1354,319,4.19,0,736,1325,1341
2024-12,Laundry Detergent,12,Peak-Q4,1980,382,6.13,0,1280,2076,2088
2024-12,Shampoo,12,Peak-Q4,1547,332,4.68,0,1041,1736,1683
2025-01,Body Wash,1,Dry-Q1,1341,170,4.14,1,741,1417,1423
2025-01,Laundry Detergent,1,Dry-Q1,2088,386,6.1,0,1061,2045,2094
2025-01,Shampoo,1,Dry-Q1,1683,410,4.76,0,950,1610,1591
2025-02,Body Wash,2,Dry-Q1,1423,342,3.78,0,867,1550,1512
2025-02,Laundry Detergent,2,Dry-Q1,2094,457,6.26,0,1203,2028,1980
2025-02,Shampoo,2,Dry-Q1,1591,264,4.53,0,771,1633,1622
2025-03,Body Wash,3,Dry-Q1,1512,329,3.98,0,726,1638,1374
2025-03,Laundry Detergent,3,Dry-Q1,1980,246,6.3,0,1119,2052,2009
2025-03,Shampoo,3,Dry-Q1,1622,434,4.56,0,981,1808,1702
2025-04,Body Wash,4,Hot-Q2,1374,198,4.01,0,663,1349,1301
2025-04,Laundry Detergent,4,Hot-Q2,2009,528,6.14,0,1023,2020,1819
2025-04,Shampoo,4,Hot-Q2,1702,396,4.92,1,993,1853,1703
2025-05,Body Wash,5,Hot-Q2,1301,236,4.0,0,745,1234,1181
2025-05,Laundry Detergent,5,Hot-Q2,1819,402,6.29,0,1175,1869,1846
2025-05,Shampoo,5,Hot-Q2,1703,379,4.6,0,860,1732,1526
2025-06,Body Wash,6,Hot-Q2,1181,263,3.91,1,939,1168,1360
2025-06,Laundry Detergent,6,Hot-Q2,1846,407,6.29,1,1169,1876,1894
2025-06,Shampoo,6,Hot-Q2,1526,302,4.79,1,1001,1549,1674
2025-07,Body Wash,7,Wet-Q3,1360,312,3.83,0,790,1486,1363
2025-07,Laundry Detergent,7,Wet-Q3,1894,492,6.37,0,1212,1690,1857
2025-07,Shampoo,7,Wet-Q3,1674,418,4.79,0,965,1706,1440
2025-08,Body Wash,8,Wet-Q3,1363,311,3.94,0,683,1361,1227
2025-08,Laundry Detergent,8,Wet-Q3,1857,423,6.49,1,1374,1976,1878
2025-08,Shampoo,8,Wet-Q3,1440,354,4.65,0,779,1534,1295
2025-09,Body Wash,9,Wet-Q3,1227,278,3.99,0,625,1289,1099
2025-09,Laundry Detergent,9,Wet-Q3,1878,475,6.35,0,1132,1824,1905
2025-09,Shampoo,9,Wet-Q3,1295,415,4.72,0,937,1417,1317
2025-10,Body Wash,10,Peak-Q4,1099,191,4.18,0,718,1101,1231
2025-10,Laundry Detergent,10,Peak-Q4,1905,457,6.19,0,1146,1903,1908
2025-10,Shampoo,10,Peak-Q4,1317,394,4.73,0,955,1285,1381
2025-11,Body Wash,11,Peak-Q4,1231,245,3.99,1,826,1254,1458
2025-11,Laundry Detergent,11,Peak-Q4,1908,327,6.53,0,1236,1884,2040
2025-11,Shampoo,11,Peak-Q4,1381,223,4.5,0,770,1495,1562
2025-12,Body Wash,12,Peak-Q4,1458,219,3.93,1,856,1221,1628
2025-12,Laundry Detergent,12,Peak-Q4,2040,377,6.43,0,1108,2143,1989
2025-12,Shampoo,12,Peak-Q4,1562,306,4.75,1,993,1596,1712
